11355.0, 13.1, 197
10032.0, 12.3, 117
11235.0, 12.2, 176
11104.0, 12.2, 114
10033.0, 12.1, 120
11354.0, 12.0, 361
11220.0, 11.9, 317
11229.0, 11.9, 142
11372.0, 11.7, 319
10021.0, 11.6, 152
10128.0, 11.5, 159
11205.0, 11.5, 145
11208.0, 11.5, 116
11377.0, 11.3, 214
11230.0, 11.3, 102
10018.0, 11.1, 333
10029.0, 11.1, 197
11375.0, 11.1, 196
11223.0, 11.1, 185
10016.0, 11.0, 414
10013.0, 10.9, 480
11211.0, 10.9, 365
10314.0, 10.9, 185
11214.0, 10.9, 180
11203.0, 10.9, 141
11232.0, 10.9, 106
11226.0, 10.8, 201
11216.0, 10.8, 166
10025.0, 10.7, 237
11432.0, 10.7, 188
11219.0, 10.7, 105
10017.0, 10.6, 376
11373.0, 10.6, 225
10024.0, 10.6, 202
11106.0, 10.6, 156
11358.0, 10.6, 143
10003.0, 10.5, 675
10012.0, 10.5, 402
10038.0, 10.5, 168
10014.0, 10.4, 408
10009.0, 10.4, 312
10010.0, 10.4, 246
10028.0, 10.4, 214
11249.0, 10.4, 155
10034.0, 10.4, 106
10022.0, 10.3, 488
10011.0, 10.3, 463
11215.0, 10.3, 372
11385.0, 10.3, 252
10467.0, 10.3, 169
10463.0, 10.3, 128
10002.0, 10.2, 474
11103.0, 10.2, 209
11237.0, 10.2, 179
11204.0, 10.2, 123
10462.0, 10.1, 148
10019.0, 10.0, 660
10036.0, 10.0, 593
10027.0, 10.0, 163
11105.0, 10.0, 123
10458.0, 9.9, 196
10065.0, 9.9, 173
11221.0, 9.9, 111
11368.0, 9.8, 290
11361.0, 9.8, 119
10468.0, 9.8, 107
11435.0, 9.8, 106
10023.0, 9.7, 197
11225.0, 9.7, 101
11222.0, 9.6, 193
11206.0, 9.6, 154
11218.0, 9.6, 147
11207.0, 9.6, 136
10472.0, 9.6, 108
11101.0, 9.5, 250
10301.0, 9.5, 103
11217.0, 9.4, 254
10461.0, 9.4, 154
11201.0, 9.3, 345
11231.0, 9.3, 159
10306.0, 9.3, 111
11209.0, 9.2, 264
11238.0, 9.2, 246
11234.0, 9.1, 152
11236.0, 9.1, 111
10007.0, 9.0, 139
11369.0, 9.0, 104
11430.0, 8.8, 148
10004.0, 8.8, 142
10452.0, 8.8, 101
10001.0, 8.5, 509
10451.0, 8.4, 157
